ano;modalidade;numero_ano;processo;situacao;objeto;natureza;demandante;modalidade_compra;homologacao_mes;valor_estimado_ufpr;valor_estimado_outros;valor_contratado_ufpr;valor_contratado_ufpr;homologacao_mes_ano
2014;Chamada Pública;001/2014;023625/2014-85;Em Andamento;Realização de Eventos (propriedade industrial) nas dependências da UFPR;Sem Informação;AGITEC;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;001/2014;047629/2013-78;Fracassado;Concessão de uso de espaço físico, cantina do SEPT.;Sem Informação;SEPT;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;002/2014;048559/2013-75;Fracassado;Concessão de uso de espaço para funcionamento de uma reprografia no campus Cabral setor SACOD.;Sem Informação;SACOD;Contrato;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;003/2014;052161/2013-33;Suspenso;Construção do Edifício de Salas do Setor de Ciências Exatas - 3ºEtapa - Campus Politécnico.;Sem Informação;PCU;SRP;;9998396.8;0.0;8662384.47;0.0;
2014;Concorrência Pública;004/2014;041629/2013-64;Suspenso;Construção - Edificação - Bloco Setor de Ciências da Terra - 2ª Etapa;Sem Informação;PCU;SRP;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;005/2014;001426/2014-16;Homologado;Concessão de uso de espaço físico para exploração de serviços de cantina para o departamento de Educação Fisíca.;Sem Informação;PCU;Contrato;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;006/2014;048559/2013-75;Deserto;Concessão de uso de espaço para funcionamento de uma reprografia no campus Cabral. (REPETIÇÃO);Sem Informação;SACOD;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;007/2014;047629/2013-78;Homologado;Concessão de uso de espaço físico, cantina do SEPT.;Sem Informação;SEPT;Sem Informação;;1750.0;0.0;2603.25;0.0;
2014;Concorrência Pública;008/2014;013682/2014-56;Homologado;Permissão de uso reprografia jurídicas;Sem Informação;DSG;Sem Informação;;1290.68;0.0;1511.91;0.0;
2014;Concorrência Pública;009/2014;007760/2014-83;Homologado;Concessão de uso de espaço físico para funcionamento de uma cantina no Centro de Convivência no Campus Politécnico;Sem Informação;Politécnico;Sem Informação;;1569.14;0.0;7700.0;0.0;
2014;Concorrência Pública;010/2014;029550/2013-65;Aguarda Abertura;Concessão de espaço físico situado nas dependências do Setor de Artes, Comunicação e Design, do Campus Cabral, desta Universidade Federal do Paraná.;Sem Informação;SACOD;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Concorrência Pública;011/2014;025998/2014-91;Fase Interna;Concessão de espaço físico situado no Setor Palotina ;Sem Informação;Palotina;Sem Informação;;0.0;0.0;0.0;0.0;
2014;Pregão Eletrônico;018/2014;01.392/2014-60;Homologado;Aquisição de materiais hidráulicos para manutenção;material;PCU;Sem Informação;;286235.5;0.0;280600.2;0.0;
2014;Pregão Eletrônico;002/2014;54.855/2013-13;Homologado;Contratação de serviços de fornecimento de refeições preparadas;Serviço;RU;Contrato;;1753056.0;0.0;1731024.0;0.0;
2014;Pregão Eletrônico;003/2014;49.208/2013-81;Homologado;Aquisição de embalagens de plástico;Material;RU;SRP;;62902.02;0.0;42631.0;0.0;
2014;Pregão Eletrônico;004/2014;033812/2013-96;Em Andamento;Administração de Ticket Refeição (SRP);Serviço;PRA;SRP;;7654087.45;0.0;0.0;0.0;
2014;Pregão Eletrônico;005/2014;049762/2013-69;Fase Interna;Serviço de controle de qualidade Farmácia;Serviço;Farmácia;Contrato;;3031.82;0.0;0.0;0.0;
2014;Pregão Eletrônico;022/2014;44.633/2013-84;Homologado;Contratação de empresa para corte e destoca de árvore (pinus) de médio e grande porte;Serviço;PCU;Sem Informação;;48450.0;0.0;37999.89;0.0;
2014;Pregão Eletrônico;030/2014;27.918/2013-51;Homologado;Fornecimento e instalação de vidros;material;PCU;Sem Informação;;4047543.83;0.0;2755538.0;0.0;
2014;Pregão Eletrônico;034/2014;34.257/2013-10;Homologado;Elaboração de serviços de engenharia para sondagem geológica em futura área de construção da Central de Manutenção;Serviço;PCU;Sem Informação;;11072.0;0.0;10855.0;0.0;
2014;Pregão Eletrônico;039/2014;34.259/2013-17;Homologado;Elaboração de serviços de engenharia para levantamento planialtimétrico parcial ;Serviço;PCU;Sem Informação;;12166.04;0.0;4380.0;0.0;
